runtime: Lune 0.10.5+709 (Luau native codegen for required modules; comparable to Roblox --!native)

| case | scenario | agents | us/agent-tick | B/agent-tick | KB/agent (add + 1st tick) |
|---|---|---:|---:|---:|---:|
| baseline | npc | 1 | 1.951 | 480 | 10.62 |
| oop_shared_alias | npc | 1 | 0.194 | 0 | 0.52 |
| closure_single | npc | 1 | 0.113 | 0 | 0.14 |
| closure_batch | npc | 1 | 0.246 | 0 | 0.25 |
| flat_dispatch_pernode | npc | 1 | 0.200 | 0 | 0.33 |
| flat_batch | npc | 1 | 0.353 | 0 | 0.31 |
| flat_batch_buffer | npc | 1 | 0.386 | 0 | 0.19 |
| baseline | npc | 10 | 1.968 | 480 | 8.67 |
| oop_shared_alias | npc | 10 | 0.193 | 0 | 0.83 |
| closure_single | npc | 10 | 0.146 | 0 | 0.20 |
| closure_batch | npc | 10 | 0.207 | 0 | 0.29 |
| flat_dispatch_pernode | npc | 10 | 0.196 | 0 | 0.53 |
| flat_batch | npc | 10 | 0.214 | 0 | 0.36 |
| flat_batch_buffer | npc | 10 | 0.202 | 0 | 0.23 |
| baseline | npc | 100 | 2.190 | 481 | 8.67 |
| oop_shared_alias | npc | 100 | 0.198 | 0 | 0.68 |
| closure_single | npc | 100 | 0.163 | 0 | 0.24 |
| closure_batch | npc | 100 | 0.161 | 0 | 0.31 |
| flat_dispatch_pernode | npc | 100 | 0.196 | 0 | 0.44 |
| flat_batch | npc | 100 | 0.182 | 0 | 0.37 |
| flat_batch_buffer | npc | 100 | 0.144 | 0 | 0.50 |
| baseline | npc | 1000 | 2.507 | 480 | 8.66 |
| oop_shared_alias | npc | 1000 | 0.184 | 0 | 0.56 |
| closure_single | npc | 1000 | 0.175 | 0 | 0.27 |
| closure_batch | npc | 1000 | 0.134 | 0 | 0.35 |
| flat_dispatch_pernode | npc | 1000 | 0.197 | 0 | 0.37 |
| flat_batch | npc | 1000 | 0.149 | 0 | 0.41 |
| flat_batch_buffer | npc | 1000 | 0.120 | 0 | 0.47 |
| baseline | wide | 1 | 5.408 | 224 | 21.64 |
| oop_shared_alias | wide | 1 | 0.525 | 0 | 1.09 |
| closure_single | wide | 1 | 0.304 | 0 | 0.09 |
| closure_batch | wide | 1 | 0.620 | 0 | 0.17 |
| flat_dispatch_pernode | wide | 1 | 0.432 | 0 | 0.58 |
| flat_batch | wide | 1 | 0.845 | 0 | 0.39 |
| flat_batch_buffer | wide | 1 | 0.901 | 0 | 0.23 |
| baseline | wide | 10 | 6.112 | 224 | 21.42 |
| oop_shared_alias | wide | 10 | 0.589 | 0 | 1.75 |
| closure_single | wide | 10 | 0.428 | 0 | 0.16 |
| closure_batch | wide | 10 | 0.522 | 0 | 0.25 |
| flat_dispatch_pernode | wide | 10 | 0.500 | 0 | 0.93 |
| flat_batch | wide | 10 | 0.725 | 0 | 0.55 |
| flat_batch_buffer | wide | 10 | 0.587 | 0 | 0.31 |
| baseline | wide | 100 | 6.209 | 224 | 21.46 |
| oop_shared_alias | wide | 100 | 0.594 | 0 | 1.42 |
| closure_single | wide | 100 | 0.492 | 0 | 0.18 |
| closure_batch | wide | 100 | 0.473 | 0 | 0.28 |
| flat_dispatch_pernode | wide | 100 | 0.517 | 0 | 0.76 |
| flat_batch | wide | 100 | 0.588 | 0 | 0.63 |
| flat_batch_buffer | wide | 100 | 0.412 | 0 | 0.92 |
| baseline | wide | 1000 | 7.170 | 224 | 20.34 |
| oop_shared_alias | wide | 1000 | 0.618 | 0 | 1.14 |
| closure_single | wide | 1000 | 0.505 | 0 | 0.14 |
| closure_batch | wide | 1000 | 0.470 | 0 | 0.22 |
| flat_dispatch_pernode | wide | 1000 | 0.539 | 0 | 0.61 |
| flat_batch | wide | 1000 | 0.545 | 0 | 0.53 |
| flat_batch_buffer | wide | 1000 | 0.367 | 0 | 0.81 |
| baseline | deep | 1 | 4.660 | 1120 | 8.12 |
| oop_shared_alias | deep | 1 | 0.408 | 0 | 0.14 |
| closure_single | deep | 1 | 0.197 | 0 | 0.08 |
| closure_batch | deep | 1 | 0.265 | 0 | 0.12 |
| flat_dispatch_pernode | deep | 1 | 0.375 | 0 | 0.09 |
| flat_batch | deep | 1 | 0.428 | 0 | 0.11 |
| flat_batch_buffer | deep | 1 | 0.465 | 0 | 0.09 |
| baseline | deep | 10 | 4.948 | 1120 | 4.41 |
| oop_shared_alias | deep | 10 | 0.390 | 0 | 0.23 |
| closure_single | deep | 10 | 0.183 | 0 | 0.12 |
